Column1,Column2,Column3,Column4,Column5
Micro Kyron 2011 SUV,"Rs. 7,550,000",5/23/2025,Avissawella,
Toyota Starlet EP82 1995 Car,"Rs. 3,490,000",5/23/2025,Negombo,
Demak Dtm Dzm Dxt Skyline 2016 Motorbike,"Rs. 330,000",5/23/2025,Gampaha,
Massey-Ferguson 240 2008 Tractor,"Rs. 1,400,000",5/23/2025,Kurunegala,
Mazda Bj5 2003 Car,"Rs. 4,100,000",5/23/2025,Negombo,
Nissan AD WAGON Y10 2002 Car,"Rs. 2,490,000",5/23/2025,Kadawatha,
Bajaj Pulsar NS160 2018 Motorbike,"Rs. 640,000",5/23/2025,Bandarawela,
Nissan Caravan Short 1995 Van,"Rs. 5,500,000",5/23/2025,Colombo,
Bajaj Re 2014 Three Wheel,"Rs. 1,375,000",5/23/2025,Homagama,
Nissan FB15 2001 Car,"Rs. 4,275,000",5/23/2025,Kandy,
Hero Pleasure 2012 Motorbike,"Rs. 275,000",5/23/2025,Kandy,
Suzuki Alto LXi 2011 Car,"Rs. 2,815,000",5/23/2025,Kurunegala,
Toyota Corona 1984 Car,Negotiable,5/23/2025,Kelaniya,
Bajaj Discover 100 2011 Motorbike,"Rs. 225,000",5/23/2025,Matara,
Suzuki Maruti 2008 Car,"Rs. 1,985,000",5/23/2025,Matale,
Toyota Yaris 2008 Car,"Rs. 6,395,000",5/23/2025,Moratuwa,
Honda PCX 160 Japan BJI 2024 Motorbike,"Rs. 1,868,000",5/23/2025,Chilaw,
Toyota Dolphin 1992 Van,Negotiable,5/23/2025,Chilaw,
Toyota IST FL GRADE 2003 Car,"Rs. 5,675,000",5/23/2025,Colombo,
Toyota AQUA 2013 Car,"Rs. 7,985,000",5/23/2025,Galle,
Toyota Yaris 2008 Car,Negotiable,5/23/2025,Kottawa,
Toyota Passo 2017 Car,"Rs. 7,425,000",5/23/2025,Kandy,
Mitsubishi Montero Sport 2012 SUV,"Rs. 17,000,000",5/23/2025,Kalutara,
Nissan Sunny FB 14 1998 Car,"Rs. 3,090,000",5/23/2025,Polonnaruwa,
Mitsubishi Lancer GLX 2003 Car,"Rs. 5,050,000",5/23/2025,Minuwangoda,
Kia Kiya 2015 Lorry,"Rs. 1,550,000",5/23/2025,Dompe,
Hero-Honda Glamour 2010 Motorbike,"Rs. 190,000",5/23/2025,Galle,
Toyota Yaris 2011 Car,"Rs. 7,750,000",5/23/2025,Homagama,
Bajaj RE 4 Stroke 2015 Three Wheel,"Rs. 1,510,000",5/23/2025,Piliyandala,
Toyota Allion 240 G Limited Anniversa 2004 Car,"Rs. 6,750,000",5/23/2025,Negombo,
Nissan Bluebird 1989 Car,"Rs. 1,575,000",5/23/2025,Gampaha,
Toyota Noah Kr42 7K 4Door Flat Roof 2003 Van,"Rs. 6,190,000",5/23/2025,Chilaw,
TVS Scooty Pep Plus 2010 Motorbike,"Rs. 185,000",5/23/2025,Kandy,
Yamaha FZ-16 2012 Motorbike,"Rs. 530,000",5/23/2025,Colombo,
Suzuki Wagon R Stingray J Style 2015 Car,"Rs. 6,300,000",5/23/2025,Piliyandala,
Tata Xenon 2015 Pickup,"Rs. 3,500,000",5/23/2025,Embilipitiya,
Mahindra KUV 100 NXT 2022 SUV,"Rs. 6,990,000",5/23/2025,Dehiwala-Mount-Lavinia,
Bajaj Platina 2007 Motorbike,"Rs. 180,000",5/23/2025,Gampaha,
Toyota Noah KR42 Convert 1998 Van,"Rs. 5,875,000",5/23/2025,Horana,
Toyota Dolphin Lh113 Long 1994 Van,"Rs. 7,400,000",5/23/2025,Matara,
Honda Cb 2000 Motorbike,"Rs. 150,000",5/23/2025,Kurunegala,
Honda Cb 2000 Motorbike,"Rs. 150,000",5/23/2025,Kurunegala,
Toyota Corolla Ke20 1973 Car,"Rs. 780,000",5/23/2025,Negombo,
Toyota Vitz Edition 3 2019 Car,"Rs. 9,475,000",5/23/2025,Ampara,
Toyota Starlet NP80 1991 Car,"Rs. 3,250,000",5/23/2025,Kuliyapitiya,
Toyota CR42 1999 Van,"Rs. 6,850,000",5/23/2025,Kandy,
Isuzu ELF 1998 Lorry,"Rs. 2,750,000",5/23/2025,Puttalam,
Bajaj Discoverri125 2010 Motorbike,"Rs. 210,000",5/23/2025,Kurunegala,
Toyota Vitz Safety 2017 Car,"Rs. 8,275,000",5/23/2025,Kottawa,
Bajaj Pulsar 135 2015 Motorbike,"Rs. 300,000",5/23/2025,Kadawatha,
Suzuki GS125 1995 Motorbike,"Rs. 180,000",5/23/2025,Kurunegala,
Suzuki Maruti Zen 2000 Car,"Rs. 1,790,000",5/23/2025,Embilipitiya,
Toyota Yaris Cross Z 2024 SUV,Negotiable,5/23/2025,Colombo,
Mitsubishi Tredia 1984 Car,"Rs. 690,000",5/23/2025,Puttalam,
Daihatsu Rocky Raize Hybrid 1200cc 2023 SUV,"Rs. 14,399,000",5/23/2025,Negombo,
Toyota CM41 1991 Van,"Rs. 2,425,000",5/23/2025,Matale,
Toyota Belta 2010 Car,"Rs. 7,425,000",5/23/2025,Kandy,
Toyota Aqua 2014 Car,"Rs. 7,825,000",5/23/2025,Kolonnawa,
Micro MX7 Mark 2 2014 Car,"Rs. 3,650,000",5/23/2025,Mirigama,
Bajaj Discover 2015 Motorbike,"Rs. 335,000",5/23/2025,Matugama,
Demak Dtm 2016 Motorbike,"Rs. 340,000",5/23/2025,Ratnapura,
Toyota Passo KGC10 2007 Car,"Rs. 4,950,000",5/23/2025,Boralesgamuwa,
Isuzu Elf 1990 Lorry,"Rs. 2,975,000",5/23/2025,Kurunegala,
Mahindra KUV 100 NXT 2024 SUV,"Rs. 7,890,000",5/23/2025,Dehiwala-Mount-Lavinia,
Isuzu NPR 71L. 4HG1 1997 Lorry,"Rs. 4,250,000",5/23/2025,Nittambuwa,
Toyota Corolla AE110 1998 Car,"Rs. 3,890,000",5/23/2025,Kurunegala,
Demak Dtm Dzm Dxt Skyline 2017 Motorbike,"Rs. 350,000",5/23/2025,Gampaha,
TVS Ntorq 2025 Motorbike,"Rs. 787,000",5/23/2025,Kurunegala,
Toyota Lh102 1992 Van,"Rs. 6,150,000",5/23/2025,Kandy,
Ranomoto Pattaya 2017 Motorbike,"Rs. 180,000",5/23/2025,Kurunegala,
Ranomoto Veltta 125 2016 Motorbike,Negotiable,5/23/2025,Minuwangoda,
Suzuki Alto Japan 2003 Car,"Rs. 3,050,000",5/23/2025,Mannar,
Toyota Roomy 2017 Car,"Rs. 8,425,000",5/23/2025,Nittambuwa,
Micro Kyron 2008 SUV,"Rs. 5,800,000",5/23/2025,Nugegoda,
Tata 207 RX 2015 Pickup,"Rs. 2,650,000",5/23/2025,Kegalle,
Yamaha ZR 2018 Motorbike,"Rs. 545,000",5/23/2025,Kegalle,
Honda Hornet 2012 Motorbike,"Rs. 1,775,000",5/23/2025,Anuradapura,
Toyota AE80 1985 Car,"Rs. 1,195,000",5/23/2025,Gampaha,
Honda Vezel Z Grade 2014 SUV,"Rs. 9,300,000",5/23/2025,Matara,
Nissan Nissan 1985 Car,Negotiable,5/23/2025,Matara,
Honda Vezel 2018 SUV,"Rs. 13,750,000",5/23/2025,Colombo,
Honda Vezel 2018 SUV,"Rs. 13,750,000",5/23/2025,Colombo,
Toyota Yaris 2022 Car,"Rs. 10,495,000",5/23/2025,Nugegoda,
Suzuki Maruti 2011 Car,Negotiable,5/23/2025,Homagama,
Toyota Prius 2015 Car,"Rs. 11,850,000",5/23/2025,Matara,
Mitsubishi Rosa 1984 Bus,"Rs. 2,300,000",5/23/2025,Kegalle,
Bajaj Discover 125 2007 Motorbike,"Rs. 245,000",5/23/2025,Kandy,
Toyota LH113 1997 Van,"Rs. 6,850,000",5/23/2025,Malabe,
Mazda BONGO 8 12 FEET 4WD 2002 Lorry,"Rs. 3,450,000",5/23/2025,Nittambuwa,
Toyota KE20 0 Car,"Rs. 575,000",5/23/2025,Gampaha,
Hyundai Elantra 1999 Car,"Rs. 2,500,000",5/23/2025,Colombo,
Bajaj RE 4 Stroke 2011 Three Wheel,"Rs. 1,100,000",5/23/2025,Kandy,
Toyota Corolla 141 2007 Car,"Rs. 6,590,000",5/23/2025,Dehiwala-Mount-Lavinia,
Nissan FB15 2000 Car,"Rs. 4,125,000",5/23/2025,Mawanella,
Honda DIO SCV 110 2017 Motorbike,"Rs. 569,000",5/23/2025,Colombo,
Isuzu Elf 1992 Lorry,"Rs. 2,575,000",5/23/2025,Kandy,
Honda Grace Ex 2016 Car,"Rs. 9,650,000",5/23/2025,Mannar,
TVS Ntorq 2024 Motorbike,"Rs. 720,000",5/23/2025,Matugama,
Ranomoto Dream 2017 Motorbike,"Rs. 195,000",5/23/2025,Ja-Ela,
Mitsubishi Canter 2002 Lorry,Negotiable,5/23/2025,Matara,
Nissan Vanette 2001 Van,"Rs. 5,400,000",5/23/2025,Kurunegala,
Suzuki Gsx400e 1990 Motorbike,"Rs. 595,000",5/23/2025,Kalutara,
TVS ZEST 110 2014 Motorbike,"Rs. 295,000",5/23/2025,Moneragala,
Bajaj 4 Stroke 2011 Three Wheel,"Rs. 1,195,000",5/23/2025,Kurunegala,
Nissan Doctor Sunny 93 Brannew Supre 1993 Car,Negotiable,5/23/2025,Kurunegala,
Ashok-Leyland ECOMET 1112 2011 Lorry,Negotiable,5/23/2025,Malabe,
Daihatsu Boon 2017 Car,"Rs. 6,950,000",5/23/2025,Matara,
Nissan ATLAS JUST LOW 2002 Lorry,"Rs. 3,400,000",5/23/2025,Nittambuwa,
Piaggio Ape 2011 Three Wheel,"Rs. 1,190,000",5/23/2025,Gampaha,
Honda Toaster 125 2006 Motorbike,"Rs. 148,000",5/23/2025,Minuwangoda,
Ranomoto Pattaya 2019 Motorbike,"Rs. 238,000",5/23/2025,Minuwangoda,
Suzuki Every 2016 Van,"Rs. 6,985,000",5/23/2025,Kandy,
Suzuki Alto K10 2011 Car,Negotiable,5/23/2025,Colombo,
Suzuki Japan Maruti 1981 Car,"Rs. 590,000",5/23/2025,Kurunegala,
Honda AX-1 2011 Motorbike,"Rs. 875,000",5/23/2025,Kuliyapitiya,
Nissan D21 Single Cab 1992 Pickup,"Rs. 2,400,000",5/23/2025,Matara,
Toyota Prius S 2011 Car,"Rs. 9,675,000",5/23/2025,Kadawatha,
Hero Pleasure 2014 Motorbike,"Rs. 355,000",5/23/2025,Kandy,
Toyota Pixis Daihatsu Hijet 2012 Van,"Rs. 4,550,000",5/23/2025,Gampaha,
Toyota LY61 1012 FEET 1995 Lorry,"Rs. 2,250,000",5/23/2025,Nittambuwa,
Ranomoto Pattaya 2022 Motorbike,"Rs. 280,000",5/23/2025,Minuwangoda,
Yamaha Fz Version 2 2018 Motorbike,"Rs. 265,000",5/23/2025,Ratnapura,
Bajaj Avangar 2017 Motorbike,"Rs. 575,000",5/23/2025,Matale,
TVS Victor 100 2004 Motorbike,"Rs. 68,000",5/23/2025,Minuwangoda,
Hyundai NF SONATA MODEL 2008 Car,"Rs. 5,300,000",5/23/2025,Homagama,
Micro Rexton XDI 2007 SUV,"Rs. 7,185,000",5/23/2025,Kadawatha,
Suzuki Alto 800 LXI 2015 Car,"Rs. 3,850,000",5/23/2025,Gampaha,
Honda Vezel 2016 SUV,"Rs. 11,800,000",5/23/2025,Kuliyapitiya,
Toyota DOLPHIN RZH 112 2003 Van,"Rs. 10,375,000",5/23/2025,Negombo,
Toyota Axio G Grade 2007 Car,"Rs. 8,150,000",5/23/2025,Kurunegala,
Toyota KIJANG 1994 SUV,"Rs. 3,850,000",5/23/2025,Kesbewa,
Mitsubishi P15 2010 Van,"Rs. 6,050,000",5/23/2025,Nittambuwa,
Toyota Corolla DX KE72 1985 Car,Negotiable,5/23/2025,Kadugannawa,
Bajaj Discover 100 2010 Motorbike,"Rs. 260,000",5/23/2025,Ja-Ela,
Honda HH3 1998 Van,"Rs. 2,200,000",5/23/2025,Kurunegala,
Toyota Prius 2013 Car,"Rs. 10,900,000",5/23/2025,Dambulla,
Suzuki EVERY PC LIMITED 2023 Van,"Rs. 8,400,000",5/23/2025,Kurunegala,
Suzuki Zen 2005 Car,"Rs. 1,865,000",5/23/2025,Dehiwala-Mount-Lavinia,
Isuzu NPR. FBE1 1987 Lorry,"Rs. 1,475,000",5/23/2025,Chilaw,
Toyota CHR GT TURBO 2WD 2019 SUV,"Rs. 15,975,000",5/23/2025,Colombo,
Toyota Prius 2008 Car,"Rs. 6,985,000",5/23/2025,Kadawatha,
Mahindra KUV 100 NXT 2023 SUV,"Rs. 7,190,000",5/23/2025,Dehiwala-Mount-Lavinia,
Audi A6 2017 Car,"Rs. 26,000,000",5/23/2025,Gampaha,
Audi Q3 2017 SUV,"Rs. 15,900,000",5/23/2025,Colombo,
Bajaj 2 Stroke 1998 Three Wheel,"Rs. 485,000",5/23/2025,Matara,
Kia Sportage 2014 SUV,"Rs. 12,400,000",5/23/2025,Colombo,
Nissan Nissan 1980 Lorry,"Rs. 850,000",5/23/2025,Kurunegala,
Mitsubishi Econo 1985 Car,"Rs. 575,000",5/23/2025,Minuwangoda,
TVS Apache RTR 150 2013 Motorbike,Negotiable,5/23/2025,Kandy,
Tata Dimo Batta 2007 Lorry,"Rs. 950,000",5/23/2025,Polgahawela,
Nissan Vanette 1995 Van,"Rs. 3,750,000",5/23/2025,Gampaha,
Datsun Redi-GO 2017 Car,"Rs. 2,985,000",5/23/2025,Kadawatha,
Daihatsu MIRA SAFETY ES 2024 Car,"Rs. 7,200,000",5/23/2025,Kurunegala,
Toyota CE110 1997 Car,"Rs. 3,500,000",5/23/2025,Avissawella,
Bajaj 4 Stroke 2013 Three Wheel,"Rs. 1,250,000",5/23/2025,Matale,
Suzuki Wagon R Stingray 2018 Car,Negotiable,5/23/2025,Kurunegala,
Toyota CHR GT TURBO 2WD 2018 SUV,"Rs. 14,975,000",5/23/2025,Colombo,
Mitsubishi Canter 1996 Lorry,"Rs. 3,550,000",5/23/2025,Mawanella,
Toyota Noah Kr42 2003 Van,"Rs. 7,650,000",5/23/2025,Ratnapura,
Micro Panda 2015 Car,Negotiable,5/23/2025,Kadawatha,
Suzuki Every DA17 2018 Van,"Rs. 7,550,000",5/23/2025,Colombo,
Toyota Allion 260 G Grade 2012 Car,"Rs. 10,850,000",5/23/2025,Kandy,
Honda Vezel Rs Sensing 2017 SUV,"Rs. 13,350,000",5/23/2025,Colombo,
Bajaj RE 2005 Three Wheel,"Rs. 800,000",5/23/2025,Colombo,
Nissan HB11 SGL 1987 Car,"Rs. 1,275,000",5/23/2025,Kandy,
Toyota Vitz 2008 Car,Negotiable,5/23/2025,Ampara,
Bajaj Discover 125 2013 Motorbike,"Rs. 358,000",5/23/2025,Kandy,
Toyota 123 Lh 1997 Van,"Rs. 8,750,000",5/23/2025,Matugama,
Bajaj Discover 150 2011 Motorbike,"Rs. 275,000",5/23/2025,Malabe,
Yamaha FZ 2016 Motorbike,"Rs. 735,000",5/23/2025,Kaduwela,
Toyota Aqua 2014 Car,"Rs. 7,150,000",5/23/2025,Nittambuwa,
Nissan N17 2011 Car,"Rs. 5,800,000",5/23/2025,Kalutara,
Bajaj CT-100 2020 Motorbike,"Rs. 490,000",5/23/2025,Panadura,
Toyota LC300 ZX 2024 SUV,"Rs. 109,000,000",5/23/2025,Colombo,
Suzuki Spacia 2015 Car,"Rs. 6,900,000",5/23/2025,Kandy,
Toyota VITZ EDITION 1 2017 Car,"Rs. 8,375,000",5/23/2025,Padukka,
Bajaj Pulsar 135 2011 Motorbike,"Rs. 218,000",5/23/2025,Kegalle,
Toyota LH51 1986 Van,"Rs. 2,680,000",5/23/2025,Kandy,
Suzuki Alto Japan 2006 Car,Negotiable,5/23/2025,Gampaha,
Suzuki Swift Beetle VXI 2010 Car,"Rs. 4,050,000",5/23/2025,Gampola,
TVS Apache RTR 160 2008 Motorbike,"Rs. 197,000",5/23/2025,Kandana,
Mahindra Mahindra 2016 Motorbike,"Rs. 150,000",5/23/2025,Moneragala,
Hero-Honda CD 100 DELUXE 2011 Motorbike,"Rs. 250,000",5/23/2025,Moneragala,
Honda Hero 2003 Motorbike,"Rs. 35,000",5/23/2025,Minuwangoda,
Honda Dio 2012 Motorbike,"Rs. 365,000",5/23/2025,Gampaha,
Toyota PREMIO G Superior 2018 Car,Negotiable,5/23/2025,Kandy,
Honda Super Cub 2015 Motorbike,Negotiable,5/23/2025,Kurunegala,
Toyota Land Cruiser 76 Series 2010 SUV,Negotiable,5/23/2025,Kelaniya,
Suzuki Alto 2016 Car,"Rs. 3,900,000",5/23/2025,Matale,
Hero Pleasure 2010 Motorbike,"Rs. 265,000",5/23/2025,Kiribathgoda,
Daihatsu Hijet S100 Freezer 1998 Lorry,"Rs. 1,850,000",5/23/2025,Gampaha,
BMW 520D 2012 Car,"Rs. 5,175,000",5/23/2025,Gampaha,
Nissan Caravan VRGE 1981 Van,"Rs. 2,100,000",5/23/2025,Balangoda,
Nissan March K12 2002 Car,"Rs. 3,550,000",5/23/2025,Colombo,
Honda Super Cub 50 2006 Motorbike,"Rs. 198,000",5/23/2025,Minuwangoda,
Nissan Cipher DA17 PC 2019 Van,Negotiable,5/23/2025,Colombo,
Hyundai EON Magna 2016 Car,"Rs. 3,980,000",5/23/2025,Kandy,
TVS Scooty Pep 2007 Motorbike,"Rs. 135,000",5/23/2025,Galle,
Toyota AQUA 2013 Car,"Rs. 7,575,000",5/23/2025,Kandy,
Piaggio Ape 2000 Three Wheel,"Rs. 750,000",5/23/2025,Minuwangoda,
Perodua Vivo Elite 2010 Car,"Rs. 4,150,000",5/23/2025,Horana,
Toyota Premio G Superior 2017 Car,"Rs. 16,450,000",5/22/2025,Eheliyagoda,120000 (km)
Audi A6 Premium Plus 2010 Car,"Rs. 11,000,000",5/23/2025,Colombo,100000 (km)
